profile_filename,helmet_positioning,num_epochs,classifier,computing_time,epoch_duration,epoch_size,num_filters,test_size,accuracy,targets,non_targets,TP,FP,TN,FN,(TP/(TP+FP),TN/(TN+FN),TP/(TP+FN),TN/(TN+FP)
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.44556522369,0.875,112,3,0.2,0.702702702703,6,31,3,8,23,3,27,88,50,74
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.58373999596,0.875,112,4,0.2,0.72972972973,6,31,4,8,23,2,33,92,66,74
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.56413221359,0.875,112,1,0.3,0.545454545455,10,45,6,21,24,4,22,85,60,53
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.61810588837,0.875,112,2,0.3,0.581818181818,10,45,2,15,30,8,11,78,20,66
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.59886407852,0.875,112,3,0.3,0.763636363636,10,45,7,10,35,3,41,92,70,77
felipevieirafrujeri_2016_11_12_15_13,normal,181,ClassifierType.lda,1.74858093262,0.875,112,4,0.3,0.781818181818,10,45,5,7,38,5,41,88,50,84
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.35253000259,0.6,76,1,0.2,0.690909090909,12,43,1,6,37,11,14,77,8,86
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.38942694664,0.6,76,2,0.2,0.709090909091,12,43,4,8,35,8,33,81,33,81
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.26765918732,0.6,76,3,0.2,0.581818181818,12,43,5,16,27,7,23,79,41,62
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.40897417068,0.6,76,4,0.2,0.563636363636,12,43,3,15,28,9,16,75,25,65
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.28227210045,0.6,76,1,0.3,0.768292682927,17,65,5,7,58,12,41,82,29,89
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.17118000984,0.6,76,2,0.3,0.658536585366,17,65,6,17,48,11,26,81,35,73
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.3466770649,0.6,76,3,0.3,0.5,17,65,10,34,31,7,22,81,58,47
felipevieirafrujeri_2016_11_12_16_36,normal,271,ClassifierType.lda,1.25801086426,0.6,76,4,0.3,0.646341463415,17,65,8,20,45,9,28,83,47,69
