profile_filename,helmet_positioning,num_epochs,classifier,computing_time,epoch_duration,epoch_size,num_filters,test_size,accuracy,targets,non_targets,TP,FP,TN,FN,(TP/(TP+FP),TN/(TN+FN),TP/(TP+FN),TN/(TN+FP)
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.603286981583,0.6,76,4,0.3,0.75,6,22,2,3,19,4,40,82,33,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.607500076294,0.7,89,1,0.2,0.315789473684,5,14,4,12,2,1,25,66,80,14
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.897310972214,0.7,89,2,0.2,0.473684210526,5,14,4,9,5,1,30,83,80,35
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.997189044952,0.7,89,3,0.2,0.473684210526,5,14,4,9,5,1,30,83,80,35
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.961551189423,0.7,89,4,0.2,0.526315789474,5,14,3,7,7,2,30,77,60,50
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.04511904716,0.7,89,1,0.3,0.428571428571,7,21,4,13,8,3,23,72,57,38
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.32438206673,0.7,89,2,0.3,0.464285714286,7,21,4,12,9,3,25,75,57,42
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.33554196358,0.7,89,3,0.3,0.464285714286,7,21,2,10,11,5,16,68,28,52
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.859969854355,0.7,89,4,0.3,0.535714285714,7,21,2,8,13,5,20,72,28,61
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.20958018303,0.875,112,1,0.2,0.421052631579,5,14,0,6,8,5,0,61,0,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,2.44538879395,0.875,112,2,0.2,0.578947368421,5,14,1,4,10,4,20,71,20,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.79734992981,0.875,112,3,0.2,0.526315789474,5,14,1,5,9,4,16,69,20,64
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.898138999939,0.875,112,4,0.2,0.578947368421,5,14,0,3,11,5,0,68,0,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.36912322044,0.875,112,1,0.3,0.571428571429,6,22,2,8,14,4,20,77,33,63
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.12459206581,0.875,112,2,0.3,0.714285714286,6,22,2,4,18,4,33,81,33,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,0.699454784393,0.875,112,3,0.3,0.642857142857,6,22,1,5,17,5,16,77,16,77
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.gaussianNB,1.03121995926,0.875,112,4,0.3,0.714285714286,6,22,2,4,18,4,33,81,33,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.395239830017,0.6,76,1,0.2,0.684210526316,5,14,5,6,8,0,45,100,100,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.312339067459,0.6,76,2,0.2,0.789473684211,5,14,5,4,10,0,55,100,100,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.286300182343,0.6,76,3,0.2,0.736842105263,5,14,4,4,10,1,50,90,80,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.396409988403,0.6,76,4,0.2,0.789473684211,5,14,5,4,10,0,55,100,100,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.435859918594,0.6,76,1,0.3,0.821428571429,6,22,6,5,17,0,54,100,100,77
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.41944694519,0.6,76,2,0.3,0.857142857143,6,22,6,4,18,0,60,100,100,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.397166967392,0.6,76,3,0.3,0.714285714286,6,22,4,6,16,2,40,88,66,72
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.542339086533,0.6,76,4,0.3,0.75,6,22,3,4,18,3,42,85,50,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.397608041763,0.7,89,1,0.2,0.631578947368,5,14,3,5,9,2,37,81,60,64
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.522468090057,0.7,89,2,0.2,0.842105263158,5,14,5,3,11,0,62,100,100,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.467501878738,0.7,89,3,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.490268945694,0.7,89,4,0.2,0.789473684211,5,14,2,1,13,3,66,81,40,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.513713121414,0.7,89,1,0.3,0.642857142857,7,21,3,6,15,4,33,78,42,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.568490982056,0.7,89,2,0.3,0.678571428571,7,21,3,5,16,4,37,80,42,76
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.740298032761,0.7,89,3,0.3,0.678571428571,7,21,2,4,17,5,33,77,28,80
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,0.712206840515,0.7,89,4,0.3,0.714285714286,7,21,2,3,18,5,40,78,28,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.29993700981,0.875,112,1,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.20863103867,0.875,112,2,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.32907700539,0.875,112,3,0.2,0.684210526316,5,14,3,4,10,2,42,83,60,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.25127220154,0.875,112,4,0.2,0.684210526316,5,14,2,3,11,3,40,78,40,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.33264899254,0.875,112,1,0.3,0.785714285714,6,22,4,4,18,2,50,90,66,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.55735993385,0.875,112,2,0.3,0.821428571429,6,22,4,3,19,2,57,90,66,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,3.34258699417,0.875,112,3,0.3,0.857142857143,6,22,4,2,20,2,66,90,66,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.bernoulliNB,1.01214599609,0.875,112,4,0.3,0.75,6,22,3,4,18,3,42,85,50,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.675910949707,0.6,76,1,0.2,0.631578947368,5,14,4,6,8,1,40,88,80,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.800655841827,0.6,76,2,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.530836105347,0.6,76,3,0.2,0.736842105263,5,14,2,2,12,3,50,80,40,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.672554969788,0.6,76,4,0.2,0.684210526316,5,14,1,2,12,4,33,75,20,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.796835184097,0.6,76,1,0.3,0.535714285714,6,22,2,9,13,4,18,76,33,59
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.631464004517,0.6,76,2,0.3,0.785714285714,6,22,4,4,18,2,50,90,66,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.749642848969,0.6,76,3,0.3,0.714285714286,6,22,2,4,18,4,33,81,33,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.620604038239,0.6,76,4,0.3,0.75,6,22,2,3,19,4,40,82,33,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.989237070084,0.7,89,1,0.2,0.578947368421,5,14,4,7,7,1,36,87,80,50
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.911562919617,0.7,89,2,0.2,0.631578947368,5,14,0,2,12,5,0,70,0,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.781136989594,0.7,89,3,0.2,0.736842105263,5,14,1,1,13,4,50,76,20,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.939899921417,0.7,89,4,0.2,0.684210526316,5,14,1,2,12,4,33,75,20,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,1.03760910034,0.7,89,1,0.3,0.428571428571,7,21,0,9,12,7,0,63,0,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.837502002716,0.7,89,2,0.3,0.714285714286,7,21,1,2,19,6,33,76,14,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.796504974365,0.7,89,3,0.3,0.714285714286,7,21,1,2,19,6,33,76,14,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,1.02514505386,0.7,89,4,0.3,0.785714285714,7,21,3,2,19,4,60,82,42,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.865284919739,0.875,112,1,0.2,0.526315789474,5,14,2,6,8,3,25,72,40,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.735110998154,0.875,112,2,0.2,0.736842105263,5,14,3,3,11,2,50,84,60,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.853942871094,0.875,112,3,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.898646831512,0.875,112,4,0.2,0.684210526316,5,14,0,1,13,5,0,72,0,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,1.41158699989,0.875,112,1,0.3,0.785714285714,6,22,5,5,17,1,50,94,83,77
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,1.03203582764,0.875,112,2,0.3,0.607142857143,6,22,2,7,15,4,22,78,33,68
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,1.26548695564,0.875,112,3,0.3,0.75,6,22,2,3,19,4,40,82,33,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.lda,0.822720050812,0.875,112,4,0.3,0.678571428571,6,22,1,4,18,5,20,78,16,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.375277996063,0.6,76,1,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.425742864609,0.6,76,2,0.2,0.578947368421,5,14,3,6,8,2,33,80,60,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.477941989899,0.6,76,3,0.2,0.684210526316,5,14,0,1,13,5,0,72,0,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.476813077927,0.6,76,4,0.2,0.736842105263,5,14,2,2,12,3,50,80,40,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.479668140411,0.6,76,1,0.3,0.678571428571,6,22,0,3,19,6,0,76,0,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.63602399826,0.6,76,2,0.3,0.642857142857,6,22,3,7,15,3,30,83,50,68
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.416500091553,0.6,76,3,0.3,0.678571428571,6,22,1,4,18,5,20,78,16,81
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.44150686264,0.6,76,4,0.3,0.642857142857,6,22,2,6,16,4,25,80,33,72
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.413112878799,0.7,89,1,0.2,0.684210526316,5,14,0,1,13,5,0,72,0,92
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.468757867813,0.7,89,2,0.2,0.736842105263,5,14,0,0,14,5,nan,73,0,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.476327896118,0.7,89,3,0.2,0.631578947368,5,14,0,2,12,5,0,70,0,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.423560857773,0.7,89,4,0.2,0.631578947368,5,14,0,2,12,5,0,70,0,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.567252874374,0.7,89,1,0.3,0.714285714286,7,21,0,1,20,7,0,74,0,95
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.470312833786,0.7,89,2,0.3,0.714285714286,7,21,0,1,20,7,0,74,0,95
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.663502931595,0.7,89,3,0.3,0.75,7,21,2,2,19,5,50,79,28,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,0.810781955719,0.7,89,4,0.3,0.75,7,21,2,2,19,5,50,79,28,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.54752898216,0.875,112,1,0.2,0.631578947368,5,14,2,4,10,3,33,76,40,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.37235879898,0.875,112,2,0.2,0.684210526316,5,14,2,3,11,3,40,78,40,78
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.21264696121,0.875,112,3,0.2,0.578947368421,5,14,1,4,10,4,20,71,20,71
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.21101403236,0.875,112,4,0.2,0.631578947368,5,14,4,6,8,1,40,88,80,57
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.66024279594,0.875,112,1,0.3,0.642857142857,6,22,4,8,14,2,33,87,66,63
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.33659696579,0.875,112,2,0.3,0.714285714286,6,22,1,3,19,5,25,79,16,86
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.0045478344,0.875,112,3,0.3,0.678571428571,6,22,2,5,17,4,28,80,33,77
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.qda,1.22759199142,0.875,112,4,0.3,0.607142857143,6,22,4,9,13,2,30,86,66,59
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.570140123367,0.6,76,1,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.463898897171,0.6,76,2,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.518942832947,0.6,76,3,0.2,0.736842105263,5,14,0,0,14,5,nan,73,0,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.545630931854,0.6,76,4,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.738294839859,0.6,76,1,0.3,0.821428571429,6,22,1,0,22,5,100,81,16,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.681895971298,0.6,76,2,0.3,0.821428571429,6,22,1,0,22,5,100,81,16,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.430725097656,0.6,76,3,0.3,0.75,6,22,0,1,21,6,0,77,0,95
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.512089967728,0.6,76,4,0.3,0.821428571429,6,22,1,0,22,5,100,81,16,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.600947141647,0.7,89,1,0.2,0.684210526316,5,14,1,2,12,4,33,75,20,85
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.840630054474,0.7,89,2,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.965938091278,0.7,89,3,0.2,0.736842105263,5,14,0,0,14,5,nan,73,0,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,1.01319718361,0.7,89,4,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,1.16222500801,0.7,89,1,0.3,0.714285714286,7,21,1,2,19,6,33,76,14,90
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,1.00509595871,0.7,89,2,0.3,0.821428571429,7,21,2,0,21,5,100,80,28,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.706965923309,0.7,89,3,0.3,0.75,7,21,0,0,21,7,nan,75,0,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,0.682819128036,0.7,89,4,0.3,0.785714285714,7,21,1,0,21,6,100,77,14,100
felipevieirafrujeri_2016_11_12_15_04,normal,91,ClassifierType.knn,1.22562098503,0.875,112,1,0.2,0.789473684211,5,14,1,0,14,4,100,77,20,100
